station,pinyin,telecode
宣威,xuanwei,XWM
新乡,xinxiang,XXF
信阳,xinyang,XUN
咸阳,xianyang,XYY
襄阳,xiangyang,XFN
熊岳城,xiongyuecheng,XYT
兴义,xingyi,XRZ
新沂,xinyi,VIH
新余,xinyu,XUG
徐州,xuzhou,XCH
延安,yanan,YWY
宜宾,yibin,YBW
亚布力南,yabulinan,YWB
叶柏寿,yebaishou,YBD
宜昌东,yichangdong,HAN
永川,yongchuan,YCW
宜昌,yichang,YCN
盐城,yancheng,AFH
运城,yuncheng,YNV
伊春,yichun,YCB
榆次,yuci,YCV
杨村,yangcun,YBP
宜春西,yichunxi,YCG
伊尔施,yiershi,YET
燕岗,yangang,YGW
永济,yongji,YIV
延吉,yanji,YJL
营口,yingkou,YKT
牙克石,yakeshi,YKX
阎良,yanliang,YNY
玉林,yulin,YLZ
榆林,yulin,ALY
亚龙湾,yalongwan,TWQ
一面坡,yimianpo,YPB
伊宁,yining,YMR
阳平关,yangpingguan,YAY
玉屏,yuping,YZW
原平,yuanping,YPV
延庆,yanqing,YNP
阳泉曲,yangquanqu,YYV
玉泉,yuquan,YQB
阳泉,yangquan,AQP
营山,yingshan,NUW
玉山,yushan,YNG
燕山,yanshan,AOP
榆树,yushu,YRT
鹰潭,yingtan,YTG
烟台,yantai,YAK
伊图里河,yitulihe,YEX
玉田县,yutianxian,ATP
义乌,yiwu,YWH
阳新,yangxin,YON
义县,yixian,YXD
益阳,yiyang,AEQ
岳阳,yueyang,YYQ
崖州,yazhou,YUQ
永州,yongzhou,AOQ
扬州,yangzhou,YLH
淄博,zibo,ZBK
镇城底,zhenchengdi,ZDV
自贡,zigong,ZGW
珠海,zhuhai,ZHQ
珠海北,zhuhaibei,ZIQ
湛江,zhanjiang,ZJZ
镇江,zhenjiang,ZJH
张家界,zhangjiajie,DIQ
张家口,zhangjiakou,ZKP
张家口南,zhangjiakounan,ZMP
周口,zhoukou,ZKN
哲里木,zhelimu,ZLC
扎兰屯,zhalantun,ZTX
驻马店,zhumadian,ZDN
肇庆,zhaoqing,ZVQ
周水子,zhoushuizi,ZIT
昭通,zhaotong,ZDW
中卫,zhongwei,ZWJ
资阳,ziyang,ZYW
遵义,zunyi,ZIW
枣庄,zaozhuang,ZEK
资中,zizhong,ZZW
株洲,zhuzhou,ZZQ
枣庄西,zaozhuangxi,ZFK
昂昂溪,angangxi,AAX
阿城,acheng,ACB
安达,anda,ADX
安德,ande,ARW
安定,anding,ADP
安广,anguang,AGT
艾河,aihe,AHP
安化,anhua,PKQ
艾家村,aijiacun,AJJ
鳌江,aojiang,ARH
安家,anjia,AJB
阿金,ajin,AJD
阿克陶,aketao,AER
安口窑,ankouyao,AYY
敖力布告,aolibugao,ALD
安龙,anlong,AUZ
阿龙山,alongshan,ASX
安陆,anlu,ALN
阿木尔,amuer,JTX
阿南庄,ananzhuang,AZM
安庆西,anqingxi,APH
鞍山西,anshanxi,AXT
安塘,antang,ATV
安亭北,antingbei,ASH
阿图什,atushi,ATR
安图,antu,ATL
安溪,anxi,AXS
博鳌,boao,BWQ
北碚,beibei,BPW
白壁关,baibiguan,BGV
蚌埠南,bengbunan,BMH
巴楚,bachu,BCR
板城,bancheng,BUP
北戴河,beidaihe,BEP
保定,baoding,BDP
宝坻,baodi,BPP
八达岭,badaling,ILP
巴东,badong,BNN
柏果,baiguo,BGM
布海,buhai,BUT
白河东,baihedong,BIY
贲红,benhong,BVC
宝华山,baohuashan,BWH
白河县,baihexian,BEY
白芨沟,baijigou,BJJ
碧鸡关,bijiguan,BJM
北滘,beijiao,IBQ
碧江,bijiang,BLQ
白鸡坡,baijipo,BBM
笔架山,bijiashan,BSB
八角台,bajiaotai,BTD
保康,baokang,BKD
白奎堡,baikuipu,BKB
白狼,bailang,BAT
百浪,bailang,BRZ
博乐,bole,BOR
宝拉格,baolage,BQC
巴林,balin,BLX
宝林,baolin,BNB
北流,beiliu,BOZ
勃利,boli,BLB
布列开,buliekai,BLR
宝龙山,baolongshan,BND
百里峡,bailixia,AAP
八面城,bamiancheng,BMD
班猫箐,banmaoqing,BNM
八面通,bamiantong,BMB
北马圈子,beimaquanzi,BRP
北票南,beipiaonan,RPD
白旗,baiqi,BQP
宝泉岭,baoquanling,BQB
白泉,baiquan,BQL
巴山,bashan,BAY
白沙,baisha,BSW
白水江,baishuijiang,BSY
白沙坡,baishapo,BPM
白石山,baishishan,BAL
白水镇,baishuizhen,BUM
包头 东,baotoudong,FDC
坂田,bantian,BTQ
泊头,botou,BZP
北屯,beitun,BYP
本溪湖,benxihu,BHT
博兴,boxing,BXK
八仙筒,baxiantong,VXD
白音察干,baiyinchagan,BYC
背荫河,beiyinhe,BYB
北营,beiying,BIV
巴彦高勒,bayangaole,BAC
白音他拉,baiyintala,BID
鲅鱼圈,bayuquan,BYT
白银市,baiyinshi,BNJ
白音胡硕,baiyinhushuo,BCD
巴中,bazhong,IEW
霸州,bazhou,RMP
北宅,beizhai,BVP
赤壁北,chibibei,CIN
查布嘎,chabuga,CBC
长城,changcheng,CEJ
长冲,changchong,CCM
承德东,chengdedong,CCP
赤峰西,chifengxi,CID
嵯岗,cuogang,CAX
柴岗,chaigang,CGT
长葛,changge,CEF
柴沟堡,chaigoupu,CGV
城固,chenggu,CGY
陈官营,chenguanying,CAJ
成高子,chenggaozi,CZB
草海,caohai,WBW
柴河,chaihe,CHB
册亨,ceheng,CHZ
草河口,caohekou,CKT
崔黄口,cuihuangkou,CHP
巢湖,chaohu,CIH
蔡家沟,caijiagou,CJT
成吉思汗,chengjisihan,CJX
岔江,chajiang,CAM
蔡家坡,caijiapo,CJY
昌乐,changle,CLK
超梁沟,chaolianggou,CYP
慈利,cili,CUQ
昌黎,changli,CLP
长岭子,changlingzi,CLT
晨明,chenming,CMB
长农,changnong,CNJ
昌平北,changpingbei,VBP
常平,changping,DAQ
长坡岭,changpoling,CPM
辰清,chenqing,CQB
蔡山,caishan,CON
楚山,chushan,CSB
长寿,changshou,EFW
磁山,cishan,CSP
苍石,cangshi,CST
草市,caoshi,CSL
察素齐,chasuqi,CSC
长山屯,changshantun,CVT
长汀,changting,CES
昌图西,changtuxi,CPT
春湾,chunwan,CQQ
磁县,cixian,CIP
岑溪,cenxi,CNZ
辰溪,chenxi,CXQ
磁西,cixi,CRP
长兴南,changxingnan,CFH
磁窑,ciyao,CYK
朝阳,chaoyang,CYD
春阳,chunyang,CAL
城阳,chengyang,CEK
创业村,chuangyecun,CEX
朝阳川,chaoyangchuan,CYL
朝阳地,chaoyangdi,CDD
长垣,changyuan,CYF
朝阳镇,chaoyangzhen,CZL
滁州北,chuzhoubei,CUH
常州北,changzhoubei,ESH
滁州,chuzhou,CXH
潮州,chaozhou,CKQ
常庄,changzhuang,CVK
曹子里,caozili,CFP
车转湾,chezhuanwan,CWM
郴州西,chenzhouxi,ICQ
沧州西,cangzhouxi,CBP
德安,dean,DAG
大安,daan,RAT
大坝,daba,DBJ
大板,daban,DBC
大巴,daba,DBD
到保,daobao,RBT
定边,dingbian,DYJ
东边井,dongbianjing,DBB
德伯斯,debosi,RDT
打柴沟,dachaigou,DGJ
德昌,dechang,DVW
滴道,didao,DDB
大磴沟,dadenggou,DKJ
刀尔登,daoerdeng,DRD
得耳布尔,deerbuer,DRX
东方,dongfang,UFQ
丹凤,danfeng,DGY
东丰,dongfeng,DIL
都格,duge,DMM
大官屯,daguantun,DTT
大关,daguan,RGW
东光,dongguang,DGP
东海,donghai,DHB
大灰厂,dahuichang,DHP
大红旗,dahongqi,DQD
大禾塘,shaodong,SOQ
东海县,donghaixian,DQH
德惠西,dehuixi,DXT
达家沟,dajiagou,DJT
东津,dongjin,DKB
杜家,dujia,DJL
大口屯,dakoutun,DKP
东来,donglai,RVD
德令哈,delingha,DHO
大陆号,daluhao,DLC
带岭,dailing,DLB
大林,dalin,DLD
达拉特旗,dalateqi,DIC
独立屯,dulitun,DTX
豆罗,douluo,DLV
达拉特西,dalatexi,DNC
东明村,dongmingcun,DMD
洞庙河,dongmiaohe,DEP
东明县,dongmingxian,DNF
大拟,dani,DNZ
大平房,dapingfang,DPD
大盘石,dapanshi,RPP
大埔,dapu,DPI
大堡,dapu,DVT
大庆东,daqingdong,LFX
大其拉哈,daqilaha,DQX
道清,daoqing,DML
对青山,duiqingshan,DQB
德清西,deqingxi,MOH
大庆西,daqingxi,RHX
东升,dongsheng,DRQ
独山,dushan,RWW
砀山,dangshan,DKH
登沙河,dengshahe,DWT
读书铺,dushupu,DPM
大石头,dashitou,DSL
东胜西,dongshengxi,DYC
大石寨,dashizhai,RZT
东台,dongtai,DBH
定陶,dingtao,DQK
灯塔,dengta,DGT
大田边,datianbian,DBM
东通化,dongtonghua,DTL
丹徒,dantu,RUH
大屯,datun,DNT
